Date;1619 - Minimum wage - c.m.u.;1785 - Monetary base - Monetary base (working day balance average) - c.m.u. (thousand);3546 - International reserves - Total - monthly - US$ (million);22701 - Current account - monthly - net - US$ (million);28544 - Real effective overall earnings - R$ (million);29023 - Households gross disposable national income (3-months moving average) - R$ (million);29027 - Households gross disposable national income (deflated by IPCA, seasonally adjusted, 3-months moving average) - R$ (million)
10/1993;12,024.00 ;528,955,248 ;29,019 ;-;-;-;-
11/1993;15,021.00 ;722,111,901 ;31,011 ;-;-;-;-
12/1993;18,760.00 ;1,330,040,487 ;32,211 ;-;-;-;-
01/1994;32,882.00 ;1,489,781,778 ;35,390 ;-;-;-;-
02/1994;42,829.00 ;2,056,179,416 ;36,542 ;-;-;-;-
03/1994;50,298.34 ;2,579,977,434 ;38,282 ;-;-;-;-
04/1994;71,532.22 ;3,666,281,203 ;38,289 ;-;-;-;-
05/1994;102,887.77 ;5,283,928,829 ;41,408 ;-;-;-;-
06/1994;147,627.08 ;8,040,253,952 ;42,881 ;-;-;-;-
07/1994;64.79 ;6,495,066 ;43,090 ;-;-;-;-
08/1994;64.79 ;9,070,471 ;42,981 ;-;-;-;-
09/1994;70.00 ;11,233,046 ;43,455 ;-;-;-;-
10/1994;70.00 ;12,835,101 ;42,845 ;-;-;-;-
11/1994;70.00 ;14,010,110 ;41,937 ;-;-;-;-
12/1994;70.00 ;17,265,013 ;38,806 ;-;-;-;-
01/1995;70.00 ;16,863,488 ;38,278 ;-1,411.4 ;-;-;-
02/1995;70.00 ;15,800,526 ;37,998 ;-2,053.4 ;-;-;-
03/1995;70.00 ;15,660,830 ;33,742 ;-2,246.2 ;-;-;-
04/1995;70.00 ;14,535,154 ;31,887 ;-2,878.6 ;-;-;-
05/1995;100.00 ;14,433,295 ;33,731 ;-1,450.9 ;-;-;-
06/1995;100.00 ;14,666,442 ;33,512 ;-2,327.1 ;-;-;-
07/1995;100.00 ;15,382,345 ;41,823 ;-1,146.0 ;-;-;-
08/1995;100.00 ;14,980,630 ;47,660 ;-701.2 ;-;-;-
09/1995;100.00 ;15,019,411 ;48,713 ;-574.2 ;-;-;-
10/1995;100.00 ;16,261,584 ;49,694 ;-1,946.7 ;-;-;-
11/1995;100.00 ;16,743,294 ;51,257 ;-811.1 ;-;-;-
12/1995;100.00 ;20,745,648 ;51,840 ;-1,165.5 ;-;-;-
01/1996;100.00 ;20,509,561 ;53,540 ;-1,283.6 ;-;-;-
02/1996;100.00 ;18,477,719 ;55,794 ;-683.9 ;-;-;-
03/1996;100.00 ;18,027,639 ;55,753 ;-1,557.4 ;-;-;-
04/1996;100.00 ;17,442,217 ;56,769 ;-1,739.2 ;-;-;-
05/1996;112.00 ;17,605,092 ;59,394 ;-941.0 ;-;-;-
06/1996;112.00 ;17,448,736 ;59,997 ;-1,634.7 ;-;-;-
07/1996;112.00 ;17,698,808 ;59,521 ;-2,407.6 ;-;-;-
08/1996;112.00 ;16,845,765 ;59,643 ;-1,275.3 ;-;-;-
09/1996;112.00 ;17,242,777 ;58,775 ;-2,180.0 ;-;-;-
10/1996;112.00 ;17,653,153 ;58,600 ;-3,787.8 ;-;-;-
11/1996;112.00 ;16,859,022 ;60,471 ;-2,032.2 ;-;-;-
12/1996;112.00 ;20,105,817 ;60,110 ;-4,320.3 ;-;-;-
01/1997;112.00 ;20,620,060 ;58,951 ;-467.6 ;-;-;-
02/1997;112.00 ;22,610,062 ;59,405 ;-2,177.5 ;-;-;-
03/1997;112.00 ;24,696,983 ;58,980 ;-2,349.6 ;-;-;-
04/1997;112.00 ;24,671,794 ;56,171 ;-3,916.9 ;-;-;-
05/1997;120.00 ;24,450,310 ;59,279 ;-1,748.9 ;-;-;-
06/1997;120.00 ;24,707,245 ;57,615 ;-2,569.9 ;-;-;-
07/1997;120.00 ;25,793,893 ;60,331 ;-3,242.5 ;-;-;-
08/1997;120.00 ;24,986,155 ;63,056 ;-1,887.1 ;-;-;-
09/1997;120.00 ;26,151,489 ;61,931 ;-2,530.3 ;-;-;-
10/1997;120.00 ;26,655,813 ;53,690 ;-3,965.0 ;-;-;-
11/1997;120.00 ;26,017,065 ;52,035 ;-3,387.9 ;-;-;-
12/1997;120.00 ;32,283,073 ;52,173 ;-3,890.2 ;-;-;-
01/1998;120.00 ;33,581,444 ;53,103 ;-2,293.1 ;-;-;-
