Date;188 - National Consumer Price Index (INPC) - Monthly % var.;1635 - Broad national consumer price index (IPCA) - Food and beverages - Monthly % var.;1636 - Broad national consumer price index (IPCA) - Housing - Monthly % var.;1639 - Broad national consumer price index (IPCA) - Transport - Monthly % var.;10844 - Broad National Consumer Price Index (IPCA) - Services - Monthly % var.;13522 - Broad national consumer price index (IPCA) - in 12 months - %;24369 - Unemployment rate - PNADC - %,
03/2022;1.71 ;2.42 ;1.15 ;3.02 ;0.45 ;11.30 ;11.1,
04/2022;1.04 ;2.06 ;-1.14 ;1.91 ;0.66 ;12.13 ;10.5,
05/2022;0.45 ;0.48 ;-1.70 ;1.34 ;0.85 ;11.73 ;9.8,
06/2022;0.62 ;0.80 ;0.41 ;0.57 ;0.90 ;11.89 ;9.3,
07/2022;-0.60 ;1.30 ;-1.05 ;-4.51 ;0.80 ;10.07 ;9.1,
08/2022;-0.31 ;0.24 ;0.10 ;-3.37 ;0.28 ;8.73 ;8.9,
09/2022;-0.32 ;-0.51 ;0.60 ;-1.98 ;0.40 ;7.17 ;8.7,
10/2022;0.47 ;0.72 ;0.34 ;0.58 ;0.67 ;6.47 ;8.3,
11/2022;0.38 ;0.53 ;0.51 ;0.83 ;0.13 ;5.90 ;8.1,
12/2022;0.69 ;0.66 ;0.20 ;0.21 ;0.44 ;5.79 ;7.9,
01/2023;0.46 ;0.59 ;0.33 ;0.55 ;0.60 ;5.77 ;8.4,
02/2023;0.77 ;0.16 ;0.82 ;0.37 ;1.41 ;5.60 ;8.6,
03/2023;0.64 ;0.05 ;0.57 ;2.11 ;0.25 ;4.65 ;8.8,
04/2023;0.53 ;0.71 ;0.48 ;0.56 ;0.52 ;4.18 ;8.5,
05/2023;0.36 ;0.16 ;0.67 ;-0.57 ;-0.06 ;3.94 ;8.3,
06/2023;-0.10 ;-0.66 ;0.69 ;-0.41 ;0.62 ;3.16 ;8.0,
07/2023;-0.09 ;-0.46 ;-1.01 ;1.50 ;0.25 ;3.99 ;7.9,
08/2023;0.20 ;-0.85 ;1.11 ;0.34 ;0.08 ;4.61 ;7.8,
09/2023;0.11 ;-0.71 ;0.47 ;1.40 ;0.50 ;5.19 ;7.7,
10/2023;0.12 ;0.31 ;0.02 ;0.35 ;0.59 ;4.82 ;7.6,
11/2023;0.10 ;0.63 ;0.48 ;0.27 ;0.70 ;4.68 ;7.5,
12/2023;0.55 ;1.11 ;0.34 ;0.48 ;0.60 ;4.62 ;7.4,
01/2024;0.57 ;1.38 ;0.25 ;-0.65 ;0.02 ;4.51 ;,
02/2024;0.81 ;0.95 ;0.27 ;0.72 ;1.06 ;4.50 ;,
03/2024;0;0;0.19;-0.33;0;0;0,
source; ,
